epoch,loss,val_loss
0,0.0006728758453391492,0.00037095361039973795
1,3.148565883748233e-05,9.335882350569591e-05
2,2.9920280212536454e-05,0.00020677474094554782
3,2.9452756280079484e-05,9.082112228497863e-05
4,2.8530364943435416e-05,0.00010694750380935147
5,3.293899862910621e-05,8.847564458847046e-05
6,2.965689782286063e-05,0.00011644273035926744
7,3.874476897181012e-05,7.951564475661144e-05
8,2.4232051146100275e-05,0.00011416460620239377
9,2.4969391233753413e-05,7.637726957909763e-05
10,2.623085310915485e-05,9.526364738121629e-05
11,2.6701247406890616e-05,9.274972398998216e-05
12,2.2932477804715745e-05,0.0001499064383096993
13,2.4367705918848515e-05,6.775157089577988e-05
14,2.238823435618542e-05,7.270933565450832e-05
15,2.2084064767113887e-05,7.462255598511547e-05
16,2.1279622160363942e-05,6.264477997319773e-05
17,2.0751660485984758e-05,7.248495239764452e-05
18,2.0415911421878263e-05,9.675559704191983e-05
19,2.476388544891961e-05,6.188661063788459e-05
20,1.837194213294424e-05,5.5990039982134476e-05
21,1.6604857592028566e-05,6.051552918506786e-05
22,1.8337574147153646e-05,6.924624904058874e-05
23,1.4887166798871476e-05,0.00012637888721656054
24,1.9943659935961477e-05,4.91906757815741e-05
25,1.559399242978543e-05,7.887047831900418e-05
26,1.9048728063353337e-05,5.103848161525093e-05
27,1.6825611965032294e-05,6.22016959823668e-05
28,1.5373501810245216e-05,4.5289936679182574e-05
29,1.4771610040043015e-05,4.839078974328004e-05
30,1.4660240594821516e-05,8.754746522754431e-05
31,1.3637162737722974e-05,0.0001180032268166542
32,1.3297030818648636e-05,4.665412780013867e-05
33,1.5961290046107024e-05,7.716901018284261e-05
34,1.2875885659013875e-05,5.909395986236632e-05
35,1.4072167687118053e-05,0.0001378748711431399
36,1.0522413504077122e-05,4.012064528069459e-05
37,1.3600797501567286e-05,4.7873832954792306e-05
38,1.229706595040625e-05,7.162951806094497e-05
39,1.4937500964151695e-05,6.587413372471929e-05
40,1.361395788990194e-05,7.471534627256915e-05
41,1.795920979930088e-05,6.376084638759494e-05
42,1.3589853551820852e-05,6.288169242907315e-05
43,1.2207745385239832e-05,4.808470112038776e-05
44,1.1967795217060484e-05,9.782776760403067e-05
45,1.0029669283539988e-05,4.656233068089932e-05
46,1.1678669579850975e-05,3.9818096411181614e-05
47,9.470809345657472e-06,4.156436261837371e-05
48,9.881434380076826e-06,3.76258249161765e-05
49,8.701432307134382e-06,4.2513085645623505e-05
